,30 SEP '25,30 JUN '25,31 MAR '25,31 DEC '24,30 SEP '24,30 JUN '24,31 MAR '24,31 DEC '23,30 SEP '23,30 JUN '23,31 MAR '23,31 DEC '22,30 SEP '22,30 JUN '22,31 MAR '22,31 DEC '21,30 SEP '21,30 JUN '21,31 MAR '21,31 DEC '20,30 SEP '20,30 JUN '20,31 MAR '20,31 DEC '19,30 SEP '19,30 JUN '19,31 MAR '19,31 DEC '18,30 SEP '18,30 JUN '18,31 MAR '18,31 DEC '17,30 SEP '17,30 JUN '17,31 MAR '17,31 DEC '16,30 SEP '16,30 JUN '16,31 MAR '16,31 DEC '15,30 SEP '15,30 JUN '15,31 MAR '15,31 DEC '14,30 SEP '14,30 JUN '14,31 MAR '14,31 DEC '13,30 SEP '13,30 JUN '13,31 MAR '13,31 DEC '12,30 SEP '12,30 JUN '12,31 MAR '12,31 DEC '11,30 SEP '11,30 JUN '11,31 MAR '11,31 DEC '10,30 SEP '10,30 JUN '10,31 MAR '10,31 DEC '09,30 SEP '09,30 JUN '09,31 MAR '09,31 DEC '08,30 SEP '08,30 JUN '08,31 MAR '08,31 DEC '07,31 DEC '06,31 DEC '05,31 DEC '04
Service charges on deposit accounts,,,,,,,,,,,,,,,,,,,,,,,,,"4,289","2,300","1,094",,"3,540","2,336","1,173","5,111","3,865","2,589","1,313","5,372","4,015","2,645","1,309","5,168","3,839","2,504","1,215","5,050","3,809","2,498","1,215","5,023","3,740","2,462","1,214","4,683","3,433","2,223","1,084","4,280","3,189","2,086","1,012","4,916","3,881","2,749","1,332","5,741","4,320","2,842","1,394","3,190","2,387","1,548",748,"3,050","2,690","2,512","2,417"
Lending-related fees,,,,,,,,,,,,,,,,,,,,,,,,,"1,116",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Card fees,"3,440","2,217","1,044","4,342","3,258","2,162","1,061","4,256","3,229","2,131","1,033","4,355","3,260","2,141","1,029","4,175","3,104","2,026",949,"3,544","2,601","1,689",892,"4,016","2,996","1,969",944,"3,907","2,926","1,909",908,"3,960","2,964","1,964",945,"3,936","2,935","1,938",941,"3,720","2,754","1,801",871,"3,431","2,506","1,631",784,"3,191","2,364","1,551",738,"2,838","2,102","1,358",654,"3,653","2,973","1,960",957,"3,652","2,711","1,776",865,"3,683","2,722","1,776",853,"2,336","1,747","1,146",558,"2,136","1,747","1,458","1,230"
Trust and investment fees,"11,905","7,754","3,949","14,961","11,035","7,254","3,584","12,694","9,451","6,168","3,059","12,685","9,704","6,656","3,482","15,664","11,858","7,904","3,960","14,112","10,439","6,925","3,574","14,072","10,500","6,941","3,373","14,509","10,989","7,358","3,683","14,495","10,808","7,199","3,570","14,243","10,545","6,932","3,385","14,468","10,957","7,387","3,677","14,280","10,575","7,021","3,412","13,430","9,972","6,696","3,202","11,890","8,691","5,737","2,839","11,304","8,646","5,860","2,916","10,934","7,976","5,412","2,669","9,735","7,130","4,628","2,215","2,924","2,263","1,525",763,"3,149","2,737","2,436","2,116"
Investment advisory and other asset-based fees,"7,695","5,035","2,536","9,775","7,209","4,746","2,331","8,670","6,501","4,277","2,114","9,004","6,955","4,844","2,498","11,011","8,432","5,550","2,756","9,863","7,265","4,760","2,506","9,814",,,,"9,436",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trust and investment management fees,"1,899","1,248",638,"2,521","1,886","1,240",626,"2,375","1,756","1,189",619,"2,242","1,641","1,079",537,"2,299","1,741","1,216",636,"2,384","1,795","1,227",677,"2,461",,,,"3,316",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Investment banking fees,"2,311","1,471",775,"2,665","1,940","1,268",627,"1,649","1,194",702,326,"1,439","1,108",733,447,"2,354","1,685","1,138",568,"1,865","1,379",938,391,"1,797",,,,"1,757",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mortgage banking,830,562,332,"1,047",753,473,230,829,627,434,232,"1,383","1,304",980,693,"4,956","3,921","2,662","1,326","3,493","2,286",696,379,"2,715","1,932","1,466",708,"3,017","2,550","1,704",934,"4,350","3,422","2,376","1,228","6,096","4,679","3,012","1,598","6,501","4,841","3,252","1,547","6,381","4,866","3,233","1,510","8,774","7,204","5,596","2,794","11,638","8,570","5,763","2,870","7,832","5,468","3,635","2,016","9,737","6,980","4,481","2,470","12,028","8,617","5,550","2,504","2,525","2,720","1,828",631,"3,133","2,311","2,422","1,860"
Insurance,,,,,,,,,,,,,,,,,,,,,,,,,,,96,,320,216,114,"1,049",826,557,277,"1,268","1,006",713,427,"1,694","1,267",891,430,"1,655","1,273",885,432,"1,814","1,361",948,463,"1,850","1,455","1,041",519,"1,960","1,494","1,071",503,"2,126","1,562","1,165",621,"2,126","1,644","1,176",581,"1,830","1,493","1,054",504,"1,530","1,340","1,215","1,193"
Net gains / losses from trading and securities,"3,887","2,272",883,"5,434","4,217","2,969","1,447","4,368","3,263","2,017",985,"1,461","1,642",770,796,"7,264","4,852","3,608",891,"2,710","1,726",452,"-1,100","3,976","3,402","2,167","1,296","2,225","2,185","1,554","1,027","2,800","2,072","1,423",878,"2,655","2,313","1,652",688,"3,796","2,928","1,887","1,056","4,134","3,397","2,264","1,362","3,066","2,101","1,208",728,"3,064","2,137","1,441",997,"2,550","2,011","1,809",799,"2,103","1,522","1,035",608,"2,732","1,833","1,222",511,555,167,592,636,"1,617",719,391,379
