,< -10.00%,"[-10.00%, -9.00%)","[-9.00%, -8.00%)","[-8.00%, -7.00%)","[-7.00%, -6.00%)","[-6.00%, -5.00%)","[-5.00%, -4.50%)","[-4.50%, -4.00%)","[-4.00%, -3.50%)","[-3.50%, -3.00%)","[-3.00%, -2.50%)","[-2.50%, -2.05%)","[-2.05%, -1.85%)","[-1.85%, -1.65%)","[-1.65%, -1.45%)","[-1.45%, -1.25%)","[-1.25%, -1.05%)","[-1.05%, -0.95%)","[-0.95%, -0.85%)","[-0.85%, -0.75%)","[-0.75%, -0.65%)","[-0.65%, -0.55%)","[-0.55%, -0.45%)","[-0.45%, -0.35%)","[-0.35%, -0.25%)","[-0.25%, -0.15%)","[-0.15%, -0.05%)","[-0.05%, 0.05%)","[0.05%, 0.15%)","[0.15%, 0.25%)","[0.25%, 0.35%)","[0.35%, 0.45%)","[0.45%, 0.55%)","[0.55%, 0.65%)","[0.65%, 0.75%)","[0.75%, 0.85%)","[0.85%, 0.95%)","[0.95%, 1.05%)","[1.05%, 1.25%)","[1.25%, 1.45%)","[1.45%, 1.65%)","[1.65%, 1.85%)","[1.85%, 2.05%)","[2.05%, 2.55%)","[2.55%, 3.05%)","[3.05%, 3.55%)","[3.55%, 4.05%)","[4.05%, 4.55%)","[4.55%, 5.00%)","[5.00%, 6.00%)","[6.00%, 7.00%)","[7.00%, 8.00%)","[8.00%, 9.00%)","[9.00%, 10.00%)",> 10.00%
"[-3.00%, -2.50%)",0.00684931506849315,0.00684931506849315,0.0,0.0,0.0,0.0136986301369863,0.0136986301369863,0.03424657534246575,0.0136986301369863,0.0273972602739726,0.0410958904109589,0.06164383561643835,0.0410958904109589,0.00684931506849315,0.04794520547945205,0.02054794520547945,0.04794520547945205,0.00684931506849315,0.00684931506849315,0.03424657534246575,0.0273972602739726,0.03424657534246575,0.0136986301369863,0.02054794520547945,0.0273972602739726,0.0136986301369863,0.00684931506849315,0.04794520547945205,0.02054794520547945,0.02054794520547945,0.0136986301369863,0.03424657534246575,0.0136986301369863,0.00684931506849315,0.02054794520547945,0.03424657534246575,0.0273972602739726,0.0136986301369863,0.0273972602739726,0.00684931506849315,0.0136986301369863,0.0,0.0136986301369863,0.0273972602739726,0.0273972602739726,0.0273972602739726,0.00684931506849315,0.0,0.0,0.0136986301369863,0.0,0.0,0.0,0.0,0.00684931506849315
"[-2.50%, -2.05%)",0.0,0.0,0.0,0.005494505494505495,0.01098901098901099,0.005494505494505495,0.0,0.016483516483516484,0.016483516483516484,0.027472527472527472,0.01098901098901099,0.027472527472527472,0.02197802197802198,0.01098901098901099,0.04395604395604396,0.0,0.04395604395604396,0.016483516483516484,0.027472527472527472,0.016483516483516484,0.01098901098901099,0.027472527472527472,0.03296703296703297,0.027472527472527472,0.016483516483516484,0.054945054945054944,0.02197802197802198,0.016483516483516484,0.01098901098901099,0.03296703296703297,0.038461538461538464,0.016483516483516484,0.016483516483516484,0.03296703296703297,0.005494505494505495,0.02197802197802198,0.03296703296703297,0.03296703296703297,0.027472527472527472,0.02197802197802198,0.016483516483516484,0.02197802197802198,0.027472527472527472,0.03296703296703297,0.02197802197802198,0.027472527472527472,0.016483516483516484,0.01098901098901099,0.005494505494505495,0.0,0.005494505494505495,0.005494505494505495,0.0,0.005494505494505495,0.0
"[-2.05%, -1.85%)",0.0,0.0,0.0,0.0,0.019230769230769232,0.0,0.009615384615384616,0.028846153846153848,0.019230769230769232,0.019230769230769232,0.019230769230769232,0.009615384615384616,0.028846153846153848,0.019230769230769232,0.019230769230769232,0.038461538461538464,0.038461538461538464,0.04807692307692308,0.009615384615384616,0.04807692307692308,0.019230769230769232,0.038461538461538464,0.028846153846153848,0.009615384615384616,0.0,0.038461538461538464,0.038461538461538464,0.028846153846153848,0.009615384615384616,0.019230769230769232,0.009615384615384616,0.009615384615384616,0.028846153846153848,0.009615384615384616,0.0,0.019230769230769232,0.019230769230769232,0.0,0.028846153846153848,0.028846153846153848,0.009615384615384616,0.028846153846153848,0.019230769230769232,0.04807692307692308,0.057692307692307696,0.019230769230769232,0.009615384615384616,0.009615384615384616,0.0,0.019230769230769232,0.0,0.0,0.0,0.009615384615384616,0.009615384615384616
"[-1.85%, -1.65%)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.03333333333333333,0.022222222222222223,0.011111111111111112,0.022222222222222223,0.0,0.0,0.03333333333333333,0.0,0.011111111111111112,0.022222222222222223,0.0,0.011111111111111112,0.011111111111111112,0.011111111111111112,0.05555555555555555,0.044444444444444446,0.044444444444444446,0.05555555555555555,0.06666666666666667,0.044444444444444446,0.011111111111111112,0.011111111111111112,0.011111111111111112,0.05555555555555555,0.022222222222222223,0.011111111111111112,0.03333333333333333,0.03333333333333333,0.011111111111111112,0.044444444444444446,0.03333333333333333,0.022222222222222223,0.044444444444444446,0.022222222222222223,0.022222222222222223,0.011111111111111112,0.011111111111111112,0.0,0.011111111111111112,0.011111111111111112,0.011111111111111112,0.0,0.0,0.022222222222222223
"[-1.65%, -1.45%)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019867549668874173,0.0,0.013245033112582781,0.019867549668874173,0.033112582781456956,0.019867549668874173,0.026490066225165563,0.033112582781456956,0.019867549668874173,0.039735099337748346,0.033112582781456956,0.013245033112582781,0.006622516556291391,0.039735099337748346,0.019867549668874173,0.026490066225165563,0.033112582781456956,0.033112582781456956,0.026490066225165563,0.026490066225165563,0.033112582781456956,0.052980132450331126,0.019867549668874173,0.013245033112582781,0.026490066225165563,0.019867549668874173,0.013245033112582781,0.033112582781456956,0.006622516556291391,0.019867549668874173,0.006622516556291391,0.033112582781456956,0.026490066225165563,0.019867549668874173,0.019867549668874173,0.006622516556291391,0.033112582781456956,0.039735099337748346,0.033112582781456956,0.019867549668874173,0.006622516556291391,0.006622516556291391,0.006622516556291391,0.006622516556291391,0.0,0.006622516556291391,0.0,0.006622516556291391
"[-1.45%, -1.25%)",0.0,0.0,0.0,0.00641025641025641,0.00641025641025641,0.00641025641025641,0.0,0.019230769230769232,0.0,0.00641025641025641,0.02564102564102564,0.019230769230769232,0.03205128205128205,0.01282051282051282,0.02564102564102564,0.019230769230769232,0.038461538461538464,0.019230769230769232,0.01282051282051282,0.03205128205128205,0.03205128205128205,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.019230769230769232,0.038461538461538464,0.057692307692307696,0.00641025641025641,0.00641025641025641,0.03205128205128205,0.038461538461538464,0.02564102564102564,0.0,0.01282051282051282,0.04487179487179487,0.019230769230769232,0.01282051282051282,0.05128205128205128,0.02564102564102564,0.02564102564102564,0.03205128205128205,0.02564102564102564,0.01282051282051282,0.04487179487179487,0.019230769230769232,0.0,0.00641025641025641,0.0,0.00641025641025641,0.0,0.00641025641025641,0.0,0.00641025641025641,0.00641025641025641
"[-1.25%, -1.05%)",0.0,0.0,0.0,0.0,0.0,0.004975124378109453,0.0,0.0,0.009950248756218905,0.01990049751243781,0.01990049751243781,0.01990049751243781,0.024875621890547265,0.0,0.03482587064676617,0.01990049751243781,0.024875621890547265,0.014925373134328358,0.014925373134328358,0.009950248756218905,0.01990049751243781,0.024875621890547265,0.05472636815920398,0.029850746268656716,0.03980099502487562,0.03980099502487562,0.014925373134328358,0.03482587064676617,0.009950248756218905,0.014925373134328358,0.03980099502487562,0.03980099502487562,0.009950248756218905,0.029850746268656716,0.01990049751243781,0.03980099502487562,0.009950248756218905,0.004975124378109453,0.06467661691542288,0.05970149253731343,0.01990049751243781,0.01990049751243781,0.009950248756218905,0.04975124378109453,0.024875621890547265,0.01990049751243781,0.014925373134328358,0.004975124378109453,0.009950248756218905,0.004975124378109453,0.0,0.0,0.0,0.0,0.0
"[-1.05%, -0.95%)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008928571428571428,0.008928571428571428,0.0,0.017857142857142856,0.017857142857142856,0.03571428571428571,0.008928571428571428,0.026785714285714284,0.017857142857142856,0.026785714285714284,0.008928571428571428,0.008928571428571428,0.026785714285714284,0.017857142857142856,0.05357142857142857,0.017857142857142856,0.017857142857142856,0.03571428571428571,0.03571428571428571,0.008928571428571428,0.03571428571428571,0.026785714285714284,0.03571428571428571,0.008928571428571428,0.044642857142857144,0.0625,0.026785714285714284,0.026785714285714284,0.03571428571428571,0.017857142857142856,0.008928571428571428,0.05357142857142857,0.026785714285714284,0.03571428571428571,0.017857142857142856,0.0,0.044642857142857144,0.03571428571428571,0.008928571428571428,0.008928571428571428,0.0,0.026785714285714284,0.0,0.008928571428571428,0.0,0.0,0.0,0.0
"[-0.95%, -0.85%)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017094017094017096,0.017094017094017096,0.05128205128205128,0.017094017094017096,0.02564102564102564,0.008547008547008548,0.05128205128205128,0.02564102564102564,0.008547008547008548,0.008547008547008548,0.02564102564102564,0.03418803418803419,0.0,0.03418803418803419,0.008547008547008548,0.017094017094017096,0.03418803418803419,0.02564102564102564,0.008547008547008548,0.03418803418803419,0.05982905982905983,0.06837606837606838,0.017094017094017096,0.02564102564102564,0.042735042735042736,0.03418803418803419,0.02564102564102564,0.02564102564102564,0.017094017094017096,0.017094017094017096,0.03418803418803419,0.02564102564102564,0.042735042735042736,0.02564102564102564,0.02564102564102564,0.017094017094017096,0.0,0.008547008547008548,0.008547008547008548,0.0,0.008547008547008548,0.008547008547008548,0.0,0.008547008547008548,0.0,0.0
"[-0.85%, -0.75%)",0.0,0.0,0.0,0.0,0.0,0.00684931506849315,0.00684931506849315,0.00684931506849315,0.0,0.00684931506849315,0.0,0.0410958904109589,0.0,0.00684931506849315,0.03424657534246575,0.0410958904109589,0.02054794520547945,0.0136986301369863,0.0136986301369863,0.03424657534246575,0.02054794520547945,0.02054794520547945,0.02054794520547945,0.0273972602739726,0.03424657534246575,0.03424657534246575,0.06164383561643835,0.0136986301369863,0.0273972602739726,0.03424657534246575,0.0684931506849315,0.0136986301369863,0.03424657534246575,0.0410958904109589,0.02054794520547945,0.0136986301369863,0.02054794520547945,0.0410958904109589,0.0684931506849315,0.00684931506849315,0.0136986301369863,0.02054794520547945,0.0136986301369863,0.02054794520547945,0.03424657534246575,0.0136986301369863,0.00684931506849315,0.0,0.00684931506849315,0.0,0.0,0.0,0.0,0.00684931506849315,0.00684931506849315
